Task ID,Route Name,Vehicle ID,Date,Due Date,Arrive Time,Operation,Task Template,Task Status,Planned/Adhoc,Zone,Service Point,Asset Types,Completed Asset Types,Asset Collects
360-24094495,Zone 2 B (Day) - V 2.0,REL 7,8/1/2026,8/1/2026,3:23:12 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1025,"1100L, 240L",1100L,1
360-24093938,Zone 2 B (Day) - V 2.0,REL 7,8/1/2026,8/1/2026,3:21:50 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5846,"1100L, 240L",1100L,1
360-24094501,Zone 2 B (Day) - V 2.0,REL 7,8/1/2026,8/1/2026,3:21:05 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1028,"1100L, 240L",1100L,1
360-24094498,Zone 2 B (Day) - V 2.0,REL 7,8/1/2026,8/1/2026,3:18:45 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1026,"1100L, 240L",1100L,1
360-24093360,Zone 2 B (Day) - V 2.0,REL 7,8/1/2026,8/1/2026,3:17:27 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0370,"1100L, 240L",240L,1
360-24094486,Zone 2 B (Day) - V 2.0,REL 7,8/1/2026,8/1/2026,3:16:02 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1023,"1100L, 240L",1100L,1
360-24094489,Zone 2 B (Day) - V 2.0,REL 7,8/1/2026,8/1/2026,3:15:20 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1024,"1100L, 240L",1100L,1
360-24094492,Zone 2 B (Day) - V 2.0,REL 7,8/1/2026,8/1/2026,3:14:21 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1173,"1100L, 240L",240L,1
360-24094259,Zone 2 B (Day) - V 2.0,REL 7,8/1/2026,8/1/2026,3:00:05 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1214,"1100L, 240L",1100L,1
360-24094220,Zone 2 B (Day) - V 2.0,REL 7,8/1/2026,8/1/2026,2:40:41 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0827,"1100L, 240L",1100L,1
