Task ID,Route Name,Vehicle ID,Date,Due Date,Arrive Time,Operation,Task Template,Task Status,Planned/Adhoc,Zone,Service Point,Asset Types,Completed Asset Types,Asset Collects
360-24160875,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:40:33 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0876,"1100L, 240L",1100L,1
360-24161015,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:40:05 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0828,"1100L, 240L",1100L,1
360-24161018,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:38:10 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0829,"1100L, 240L",1100L,1
360-24161054,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:34:58 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-1806,"1100L, 240L",240L,1
360-24161363,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:33:42 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-1139,"1100L, 240L",240L,1
360-24160994,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:32:42 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0822,"1100L, 240L",1100L,1
360-24160991,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:30:35 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0821,"1100L, 240L",1100L,1
360-24160988,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:28:21 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0881,"1100L, 240L",1100L,1
360-24160715,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:27:17 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-1869,"1100L, 240L",240L,1
360-24160695,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:25:13 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0783,"1100L, 240L",1100L,1
360-24160615,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:23:46 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-5959,"1100L, 240L",240L,1
360-24160959,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:21:37 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0809,"1100L, 240L",1100L,1
360-24160496,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:17:23 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0953,"1100L, 240L",1100L,1
360-24160490,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:15:38 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0758,"1100L, 240L",1100L,1
360-24161342,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:14:38 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-2880,"1100L, 240L",1100L,1
360-24161116,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:13:25 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-3505,"1100L, 240L",240L,1
360-24160973,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:11:30 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0814,"1100L, 240L",1100L,1
360-24160976,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:10:39 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0815,"1100L, 240L",1100L,1
360-24160094,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:09:57 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-4769,"1100L, 240L",240L,1
360-24161358,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:07:27 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0768,"1100L, 240L",1100L,1
360-24160603,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:06:02 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0766,"1100L, 240L",1100L,1
360-24160597,Zone 2 B (Day) - V 2.0,REL 7,11/1/2026,11/1/2026,3:04:45 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada Zone-2,Z2-BDB-0955,"1100L, 240L",1100L,1
