Task ID,Route Name,Vehicle ID,Date,Due Date,Arrive Time,Operation,Task Template,Task Status,Planned/Adhoc,Zone,Service Point,Asset Types,Completed Asset Types,Asset Collects
360-24072579,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,3:23:23 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1025,"1100L, 240L",1100L,1
360-24072119,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,3:21:54 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5846,"1100L, 240L",1100L,1
360-24072585,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,3:19:37 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1028,"1100L, 240L",1100L,1
360-24072582,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,3:18:00 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1026,"1100L, 240L",1100L,1
360-24071232,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,3:16:01 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0370,"1100L, 240L",240L,1
360-24072570,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,3:14:46 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1023,"1100L, 240L",1100L,1
360-24072573,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,3:14:10 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1024,"1100L, 240L",1100L,1
360-24072576,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,3:13:05 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1173,"1100L, 240L",240L,1
360-24072358,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:59:01 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0827,"1100L, 240L",1100L,1
360-24072201,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:58:09 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0876,"1100L, 240L",1100L,1
360-24072361,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:57:36 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0828,"1100L, 240L",1100L,1
360-24072364,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:56:42 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0829,"1100L, 240L",1100L,1
360-24072397,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:54:29 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1806,"1100L, 240L",240L,1
360-24072634,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:53:52 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1139,"1100L, 240L",240L,1
360-24072340,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:52:20 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0822,"1100L, 240L",1100L,1
360-24072337,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:50:05 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0821,"1100L, 240L",1100L,1
360-24072334,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:48:26 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0881,"1100L, 240L",1100L,1
360-24071755,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:47:17 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1869,"1100L, 240L",240L,1
360-24071727,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:38:14 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0783,"1100L, 240L",1100L,1
360-24071608,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:37:18 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5959,"1100L, 240L",240L,1
360-24072286,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:35:18 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0809,"1100L, 240L",1100L,1
360-24071445,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:32:28 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0953,"1100L, 240L",1100L,1
360-24072616,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:31:54 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2880,"1100L, 240L",1100L,1
360-24071437,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:31:16 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0758,"1100L, 240L",1100L,1
360-24072461,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:30:50 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-3505,"1100L, 240L",240L,1
360-24072301,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:29:00 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0814,"1100L, 240L",1100L,1
360-24072304,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:28:04 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0815,"1100L, 240L",1100L,1
360-24072103,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:27:32 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-4769,"1100L, 240L",240L,1
360-24072629,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:23:54 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0768,"1100L, 240L",1100L,1
360-24071585,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:22:49 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0955,"1100L, 240L",1100L,1
360-24071601,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:20:57 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0770,"1100L, 240L",1100L,1
360-24072427,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:20:12 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0948,"1100L, 240L",1100L,1
360-24071413,Zone 2 B (Day) - V 2.0,REL 1,7/1/2026,7/1/2026,2:18:54 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0754,"1100L, 240L",240L,1
