Task ID,Route Name,Vehicle ID,Date,Due Date,Arrive Time,Operation,Task Template,Task Status,Planned/Adhoc,Zone,Service Point,Asset Types,Completed Asset Types,Asset Collects
360-24141684,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:54:52 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0732,"1100L, 240L",1100L,1
360-24141284,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:54:48 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0701,"1100L, 240L",1100L,1
360-24141687,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:54:25 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0733,"1100L, 240L",1100L,1
360-24141690,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:52:56 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0734,"1100L, 240L",1100L,1
360-24141701,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:52:32 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0737,"1100L, 240L",1100L,1
360-24141696,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:52:10 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0736,"1100L, 240L",1100L,1
360-24141698,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:51:06 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0981,"1100L, 240L",1100L,1
360-24141693,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:50:45 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0735,"1100L, 240L",1100L,1
360-24140625,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:50:09 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0738,"1100L, 240L",1100L,1
360-24141331,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:48:08 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0972,"1100L, 240L",1100L,1
360-24141323,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:47:43 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0970,"1100L, 240L",1100L,1
360-24141327,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:47:15 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0971,"1100L, 240L",1100L,1
360-24141319,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:46:24 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0969,"1100L, 240L",1100L,1
360-24140826,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:45:35 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0578,"1100L, 240L",1100L,1
360-24141289,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:44:53 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0965,"1100L, 240L",1100L,1
360-24141676,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:44:23 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0729,"1100L, 240L",1100L,1
360-24141307,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:43:17 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0705,"1100L, 240L",1100L,1
360-24141640,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:41:32 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0717,"1100L, 240L",1100L,1
360-24141634,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:40:32 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0716,"1100L, 240L",1100L,1
360-24141643,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:40:29 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0718,"1100L, 240L",1100L,1
360-24141649,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:39:06 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0977,"1100L, 240L",1100L,1
360-24141646,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:38:11 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0721,"1100L, 240L",1100L,1
360-24141731,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:37:43 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5878,"1100L, 240L",240L,1
360-24141781,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:37:17 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2656,"1100L, 240L",240L,1
360-24141299,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:36:33 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0703,"1100L, 240L",1100L,1
360-24141294,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:35:23 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0966,"1100L, 240L",1100L,1
360-24141303,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:34:45 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0704,"1100L, 240L",1100L,1
360-24141311,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:33:09 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0707,"1100L, 240L",1100L,1
360-24140878,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:33:02 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5879,"1100L, 240L",240L,1
