Service Point,Coordinates
Z2-BDB-1092,"28.473818656385795, 35.001210272312164"
Z2-BDB-1090,"28.474937995002374, 35.00059671700001"
Z2-BDB-1089,"28.47518025156191, 35.00101547688246"
Z2-BDB-1088,"28.476631126847387, 35.000920593738556"
Z2-BDB-1087,"28.47710030670961, 35.000660084187984"
Z2-BDB-2302,"28.45791, 34.999535"
Z2-BDB-0948,"28.4608966, 35.036375"
Z2-BDB-0947,"28.46283, 35.0415266"
Z2-BDB-2146,"28.4609516, 35.0282533"
Z2-BDB-4769,"28.46211, 35.035415"
Z2-BDB-4554,"28.46964, 35.0406033"
Z2-BDB-1809,"28.4608933, 35.0285366"
Z2-BDB-1869,"28.4659483, 35.0320799"
Z2-BDB-0911,"28.4672333, 35.0196433"
Z2-BDB-1803,"28.4637349, 35.0366316"
Z2-BDB-1808,"28.47121212523904, 35.033970437943935"
Z2-BDB-0909,"28.471494767805964, 35.03442104905844"
Z2-BDB-0908,"28.471709033356486, 35.03484148532152"
Z2-BDB-0907,"28.472041, 35.03557"
Z2-BDB-0849,"28.4699999, 35.02905"
Z2-BDB-1731,"28.4278316, 35.0376166"
Z2-BDB-2191,"28.462498, 35.036342"
Z2-BDB-1947,"28.466715, 35.019775"
Z2-BDA-1929,"28.4271366, 35.0370483"
Z2-BDB-1021,"28.478947, 35.00163"
Z2-BDB-1997,"28.458933, 35.020565"
Z2-BDB-1996,"28.459293, 35.020507"
Z2-BDB-1995,"28.458723, 35.020593"
Z2-BDB-2055,"28.466482244627166, 35.019891522824764"
Z2-BDB-0836,"28.47019295525172, 35.027747713029385"
Z2-BDB-0835,"28.4693616, 35.0280366"
Z2-BDB-0834,"28.470252195881574, 35.02832271158695"
Z2-BDB-0833,"28.469582273787985, 35.02949181944132"
Z2-BDB-0832,"28.469579621206375, 35.029495507478714"
Z2-BDB-0831,"28.46838890006415, 35.03172140568495"
Z2-BDB-0829,"28.46883, 35.0316216"
Z2-BDB-0828,"28.469682482378342, 35.0313076749444"
Z2-BDB-0827,"28.46929844717653, 35.02987336367369"
Z2-BDB-0826,"28.46920000661609, 35.02964906394482"
Z2-BDB-0825,"28.4692116, 35.02964"
Z2-BDB-0824,"28.468912642179976, 35.02912972122431"
Z2-BDB-0823,"28.464147, 35.034242"
Z2-BDB-0999,"28.467228228769095, 35.031483359634876"
Z2-BDB-0822,"28.4677716, 35.0325"
Z2-BDB-0821,"28.46702662788458, 35.033511109650135"
Z2-BDB-0881,"28.46640089637384, 35.032503604888916"
Z2-BDB-0820,"28.463175, 35.0358883"
Z2-BDB-0818,"28.4626866, 35.034565"
Z2-BDB-0816,"28.462063, 35.03435"
Z2-BDB-0815,"28.4619899, 35.0352949"
Z2-BDB-0814,"28.462503, 35.034719"
Z2-BDB-0812,"28.46250259109523, 35.03471877425909"
Z2-BDB-0811,"28.463307847852555, 35.03429934382439"
Z2-BDB-0996,"28.46331551132077, 35.034297332167625"
Z2-BDB-0995,"28.4633883, 35.0344266"
Z2-BDB-0809,"28.4644583, 35.0315766"
Z2-BDB-0813,"28.464987607847878, 35.03014225512743"
Z2-BDB-0808,"28.466823258181545, 35.02854064106941"
Z2-BDB-0803,"28.46575600293224, 35.02768434584141"
Z2-BDB-0994,"28.465790192994103, 35.02768233418465"
Z2-BDB-0993,"28.465319194444128, 35.02877030521631"
Z2-BDB-0899,"28.466265021071937, 35.02860635519028"
Z2-BDB-0992,"28.466259126260976, 35.02855405211449"
Z2-BDB-0898,"28.46462, 35.0263066"
Z2-BDB-0991,"28.4670816, 35.0298866"
Z2-BDB-0897,"28.468116564927392, 35.02785164862871"
Z2-BDB-0896,"28.468195, 35.0280033"
Z2-BDB-0990,"28.467968018193297, 35.026016011834145"
Z2-BDB-0894,"28.46741273450471, 35.026223212480545"
Z2-BDB-0891,"28.46462801942982, 35.026737190783024"
Z2-BDB-0890,"28.4648216, 35.0266533"
Z2-BDB-0889,"28.4662266, 35.026055"
Z2-BDB-0989,"28.4656516, 35.0264966"
Z2-BDB-0888,"28.464475, 35.023225"
Z2-BDB-0988,"28.464393107318916, 35.026349276304245"
Z2-BDB-0887,"28.46425, 35.0263133"
